company_id,company_name,also_known_as,plant_name,plot_address,area_block,pincode,geo_lat,geo_lng,google_maps_url,industry_category,products_services,tier,company_size_signal,phone_primary,phone_alt,whatsapp,email,website,contact_person_name,contact_person_role,decision_maker_confidence,gstin,cin,company_status,directors,year_established,employee_estimate,processes_likely,electrode_likely,volume_signal,current_supplier_known,pitch_angle,priority_score,priority_label,data_source,last_verified_date,verification_status,outreach_status,notes,assigned_to
BHO-D001,Sawant Engineers,,Sector 10,"4/40, Sect No. 10, Near Times of India, PCNTDA, MIDC, Bhosari, Pune - 411026",Sector 10,411026,,,"https://www.google.com/maps/search/?api=1&query=Sawant+Engineers+4/40,+Sect+No.+10,+Near+Times+of+India,+PCNTDA,+MIDC,+Bhosari,+Pune+-+411026",General engineering,General engineering job work; light fabrication,3,SME,+91 020-66300302,,+91 9102066300,,,,Purchase,Low,,,,,,,SMAW,E6013;E7018,Low,Unknown,Engineering — E6013,2,Later,Pune MIDC / Bhosari public directory (stale risk),,Unverified,Not contacted,Phone from older public directory — confirm on Google Maps / call before WhatsApp campaign,
BHO-D002,Sayali Enterprises,,J Block,"Plot No. J-486, Bhosari MIDC, Pune - 411026",J Block,411026,,,"https://www.google.com/maps/search/?api=1&query=Sayali+Enterprises+Plot+No.+J-486,+Bhosari+MIDC,+Pune+-+411026",General engineering,General engineering job work; light fabrication,3,Micro,+91 020-27130457,,+91 9102027130,,,,Owner,Low,,,,,,,SMAW,E6013;E7018,Low,Unknown,Workshop — E6013,2,Later,Pune MIDC / Bhosari public directory (stale risk),,Unverified,Not contacted,Phone from older public directory — confirm on Google Maps / call before WhatsApp campaign,
BHO-D003,Screwtech Engineering Pvt Ltd,,J Block,"Plot No. J-31/4, MIDC, J Block, Bhosari, Pune - 411026",J Block,411026,,,"https://www.google.com/maps/search/?api=1&query=Screwtech+Engineering+Pvt+Ltd+Plot+No.+J-31/4,+MIDC,+J+Block,+Bhosari,+Pune+-+411026",Machine shops,Machining + fixture/repair welding,3,SME,+91 020-27130877,,+91 9102027130,,,,Purchase,Low,,,,,,,SMAW,E6013,Low,Unknown,Precision eng — fixture E6013,2,Later,Pune MIDC / Bhosari public directory (stale risk),,Unverified,Not contacted,Phone from older public directory — confirm on Google Maps / call before WhatsApp campaign,
BHO-D004,Serview Enterprises,,S Block,"Plot No. S-184, S Block, MIDC, Bhosari, Pune - 411026",S Block,411026,,,"https://www.google.com/maps/search/?api=1&query=Serview+Enterprises+Plot+No.+S-184,+S+Block,+MIDC,+Bhosari,+Pune+-+411026",General engineering,General engineering job work; light fabrication,3,SME,+91 020-27120845,,+91 9102027120,,,,Purchase,Low,,,,,,,SMAW,E6013;E7018,Low,Unknown,Engineering — E6013,2,Later,Pune MIDC / Bhosari public directory (stale risk),,Unverified,Not contacted,Phone from older public directory — confirm on Google Maps / call before WhatsApp campaign,
BHO-D005,Seva Engineering,,Sector 10,"Plot No. 305/2, Sector No. 10, PCNTDA, Bhosari, Pune - 411026",Sector 10,411026,,,"https://www.google.com/maps/search/?api=1&query=Seva+Engineering+Plot+No.+305/2,+Sector+No.+10,+PCNTDA,+Bhosari,+Pune+-+411026",General engineering,General engineering job work; light fabrication,3,SME,+91 020-24450363,,+91 9102024450,,,,Purchase,Low,,,,,,,SMAW,E6013;E7018,Low,Unknown,Engineering — E6013,2,Later,Pune MIDC / Bhosari public directory (stale risk),,Unverified,Not contacted,Phone from older public directory — confirm on Google Maps / call before WhatsApp campaign,
BHO-D006,Shailesh Industries,,J/S Block,"Plot No. J-15, S-Block, Bhosari, Pune - 411026",J/S Block,411026,,,"https://www.google.com/maps/search/?api=1&query=Shailesh+Industries+Plot+No.+J-15,+S-Block,+Bhosari,+Pune+-+411026",General engineering,General engineering job work; light fabrication,3,SME,+91 020-27122365,,+91 9102027122,,,,Purchase,Low,,,,,,,SMAW,E6013;E7018,Low,Unknown,Industrial unit — E6013,2,Later,Pune MIDC / Bhosari public directory (stale risk),,Unverified,Not contacted,Phone from older public directory — confirm on Google Maps / call before WhatsApp campaign,
BHO-D007,Shakti Industries (J-528),,J Block,"Plot No. J-528, MIDC, Bhosari, Pune - 411026",J Block,411026,,,"https://www.google.com/maps/search/?api=1&query=Shakti+Industries+(J-528)+Plot+No.+J-528,+MIDC,+Bhosari,+Pune+-+411026",General engineering,General engineering job work; light fabrication,3,SME,+91 020-66114741,,+91 9102066114,,,,Purchase,Low,,,,,,,SMAW,E6013;E7018,Low,Unknown,Industrial unit — E6013,2,Later,Pune MIDC / Bhosari public directory (stale risk),,Unverified,Not contacted,Phone from older public directory — confirm on Google Maps / call before WhatsApp campaign,
BHO-D008,Shan Engineering Company,,Sector 10,"Sector No. 10, Plot No. 99, PCNTDA Industrial Zone, Bhosari, Pune - 411026",Sector 10,411026,,,"https://www.google.com/maps/search/?api=1&query=Shan+Engineering+Company+Sector+No.+10,+Plot+No.+99,+PCNTDA+Industrial+Zone,+Bhosari,+Pune+-+411026",General engineering,General engineering job work; light fabrication,3,SME,+91 020-66302651,,+91 9102066302,,,,Purchase,Low,,,,,,,SMAW,E6013;E7018,Low,Unknown,Engineering — E6013,2,Later,Pune MIDC / Bhosari public directory (stale risk),,Unverified,Not contacted,Phone from older public directory — confirm on Google Maps / call before WhatsApp campaign,
BHO-D009,Shape Engineers,,Sector 10,"Sector 10, Plot No. 305, PCNTDA, Bhosari, Pune - 411026",Sector 10,411026,,,"https://www.google.com/maps/search/?api=1&query=Shape+Engineers+Sector+10,+Plot+No.+305,+PCNTDA,+Bhosari,+Pune+-+411026",General engineering,General engineering job work; light fabrication,3,SME,+91 9850827519,,+91 9198508275,,,,Purchase,Low,,,,,,,SMAW,E6013;E7018,Low,Unknown,Engineering — E6013,2,Later,Pune MIDC / Bhosari public directory (stale risk),,Unverified,Not contacted,Phone from older public directory — confirm on Google Maps / call before WhatsApp campaign,
BHO-D010,Sharada Industries (W-199/B),,S Block,"Plot No. W-199/B, S Block, MIDC, Bhosari, Pune - 411026",S Block,411026,,,"https://www.google.com/maps/search/?api=1&query=Sharada+Industries+(W-199/B)+Plot+No.+W-199/B,+S+Block,+MIDC,+Bhosari,+Pune+-+411026",General engineering,General engineering job work; light fabrication,3,SME,+91 020-27120962,,+91 9102027120,,,,Purchase,Low,,,,,,,SMAW,E6013;E7018,Low,Unknown,Industrial unit — E6013,2,Later,Pune MIDC / Bhosari public directory (stale risk),,Unverified,Not contacted,Phone from older public directory — confirm on Google Maps / call before WhatsApp campaign,
