midc_name,district,region,electrode_potential,sales_priority,typical_sectors,source
Ahilyanagar,Ahilyanagar,North Maharashtra,High,1 — Primary territory,Heavy fab / auto / engineering / plant maintenance,MIDC EODB registry
Jamkhed,Ahilyanagar,North Maharashtra,Medium,2 — Expand after Tier-1,General engineering / mixed manufacturing,MIDC EODB registry
Newasa,Ahilyanagar,North Maharashtra,Medium,2 — Expand after Tier-1,General engineering / mixed manufacturing,MIDC EODB registry
Rahuri,Ahilyanagar,North Maharashtra,Medium,2 — Expand after Tier-1,General engineering / mixed manufacturing,MIDC EODB registry
Shrirampur,Ahilyanagar,North Maharashtra,Medium,2 — Expand after Tier-1,General engineering / mixed manufacturing,MIDC EODB registry
Supa Parner,Ahilyanagar,North Maharashtra,High,1 — Primary territory,Heavy fab / auto / engineering / plant maintenance,MIDC EODB registry
Akola,Akola,Vidarbha,Medium–Low,3 — Opportunistic,Mixed / smaller industrial base,MIDC EODB registry
Akola (Central Government Growth Center),Akola,Vidarbha,Medium–Low,3 — Opportunistic,Mixed / smaller industrial base,MIDC EODB registry
Akot (Mini),Akola,Vidarbha,Low,3 — Opportunistic,Small workshops / niche / light industry,MIDC EODB registry
Balapur (Mini),Akola,Vidarbha,Low,3 — Opportunistic,Small workshops / niche / light industry,MIDC EODB registry
Barshi Takli (Mini),Akola,Vidarbha,Low,3 — Opportunistic,Small workshops / niche / light industry,MIDC EODB registry
Murtizapur,Akola,Vidarbha,Medium–Low,3 — Opportunistic,Mixed / smaller industrial base,MIDC EODB registry
Patur (Mini),Akola,Vidarbha,Low,3 — Opportunistic,Small workshops / niche / light industry,MIDC EODB registry
Telhara (Mini),Akola,Vidarbha,Low,3 — Opportunistic,Small workshops / niche / light industry,MIDC EODB registry
Achalpur,Amravati,Vidarbha,Medium,2 — Expand after Tier-1,General engineering / mixed manufacturing,MIDC EODB registry
Addl. Amravati (Textile Park),Amravati,Vidarbha,High,1 — Primary territory,Heavy fab / auto / engineering / plant maintenance,MIDC EODB registry
Amravati,Amravati,Vidarbha,High,1 — Primary territory,Heavy fab / auto / engineering / plant maintenance,MIDC EODB registry
Anjangaon (Mini),Amravati,Vidarbha,Low,3 — Opportunistic,Small workshops / niche / light industry,MIDC EODB registry
Bhatkuli (Mini),Amravati,Vidarbha,Low,3 — Opportunistic,Small workshops / niche / light industry,MIDC EODB registry
Chandur Railway (Mini),Amravati,Vidarbha,Low,3 — Opportunistic,Small workshops / niche / light industry,MIDC EODB registry
Daryapur (Mini),Amravati,Vidarbha,Low,3 — Opportunistic,Small workshops / niche / light industry,MIDC EODB registry
